signature,gene,correlation_with_score
Park gdT,SELL,0.42839205140448366
Park gdT,SH3BP5,0.4021310384538008
Park gdT,ARL4C,0.3815940014208269
Park gdT,ANXA1,0.3638456398796911
Park gdT,LAT,0.3431716724859208
Park CD8aa(I),CD2,0.3572302990486539
Park CD8aa(I),CD8A,0.3186982460713335
Park CD8aa(I),CD27,0.3167114380800922
Park CD8aa(I),LIMD2,0.30868693525083846
Park CD8aa(I),TRAC,0.2968072396459578
Park CD8aa(II),ZNF683,0.39073346250158664
Park CD8aa(II),CD7,0.39069489947094926
Park CD8aa(II),CTSW,0.3428762535377159
Park CD8aa(II),HCST,0.3310039411173625
Park CD8aa(II),TRGC1,0.31579189945444647
Park NK,CTSW,0.6577212143488097
Park NK,NKG7,0.5858633168968823
Park NK,GZMB,0.5433574376151161
Park NK,PRF1,0.521356970861919
Park NK,FCER1G,0.5023951174968213
Park ILC3,LTB,0.5792542186850169
Park ILC3,KLRB1,0.5505295878234416
Park ILC3,TMIGD2,0.5067401627922546
Park ILC3,IL4I1,0.5014104657912285
Park ILC3,KIT,0.4859350529611028
Park NKT,NKG7,0.567677098351206
Park NKT,CCL5,0.507246458508779
Park NKT,GIMAP4,0.4412735804440106
Park NKT,CST7,0.4328808583970929
Park NKT,CD8A,0.4041818597174419
Park T(agonist),TNFRSF1B,0.34341931294206013
Park T(agonist),VASP,0.3348753244568785
Park T(agonist),COTL1,0.3314276771091786
Park T(agonist),ITGAE,0.3155370215110796
Park T(agonist),LCP2,0.30064610711341183
Park Tfh,FLT3LG,0.3514116573943209
Park Tfh,FXYD5,0.33719022904166096
Park Tfh,IL7R,0.33132466794427823
Park Tfh,S100A4,0.31462297399714706
Park Tfh,ZFP36,0.3084386665216511
Park Th17,IL7R,0.3867585150561332
Park Th17,CDC25B,0.3721742342098347
Park Th17,LTB,0.3607758654067317
Park Th17,IFITM2,0.34726186645747265
Park Th17,NOSIP,0.3395928287730516
Park Treg,GBP2,0.3584366526869358
Park Treg,IL32,0.3301924540865857
Park Treg,TNFRSF4,0.3110440493855443
Park Treg,BATF,0.28271862394701136
Park Treg,CARD16,0.27152344193139893
Park Treg(diff),IFITM1,0.38554340660596675
Park Treg(diff),FXYD5,0.34772327320419955
Park Treg(diff),LEF1,0.3470552566152246
Park Treg(diff),TNFRSF14,0.31621925190797584
Park Treg(diff),CD27,0.3065406290430621
Chopp hs-ImCD4,CD40LG,0.3214070903776907
Chopp hs-ImCD4,FCGRT,0.3090504479574628
Chopp hs-ImCD4,TRAT1,0.3083284508016319
Chopp hs-ImCD4,TMSB10,0.30214630617987903
Chopp hs-ImCD4,ITM2A,0.2857243203860364
Chopp hs-MatCD4,KLF2,0.5687881628502226
Chopp hs-MatCD4,EMP3,0.5250913983499201
Chopp hs-MatCD4,SELL,0.5012596590520355
Chopp hs-MatCD4,RIPOR2,0.4977815432899528
Chopp hs-MatCD4,GIMAP7,0.48209099141239464
Chopp hs-ImCD8,GZMM,0.366171805954252
Chopp hs-ImCD8,LINC02446,0.3555912665900042
Chopp hs-ImCD8,CD8B,0.35168982527522447
Chopp hs-ImCD8,CD8A,0.35010649727826676
Chopp hs-ImCD8,CHI3L2,0.3269958735965456
Chopp hs-MatCD8,RPS2,0.5353498977406951
Chopp hs-MatCD8,RPL13,0.5261795487521768
Chopp hs-MatCD8,RPS18,0.5130761285543924
Chopp hs-MatCD8,RPS5,0.4395493976720534
Chopp hs-MatCD8,RPLP1,0.3986181939726623
Chopp hs-CD8,DUSP2,0.3437810415083424
Chopp hs-CD8,EGR1,0.2915148091141663
Chopp hs-CD8,CD69,0.28712917238856767
Chopp hs-CD8,ZFP36,0.2776993310798293
Chopp hs-CD8,PTPN6,0.2643025220049368
